"","HEK_Exosome_PRTF_1","HEK_Exosome_SDPR_1","HEK_Exosome_CAV_1","HEK_Exosome_PN4.11_1","HEK_Exosome_PRKCA4_1","HEK_Exosome_SDPR_2","HEK_Exosome_PRTF_2","HEK_Exosome_CAV_2","HEK_Exosome_PN4.11_2","HEK_Exosome_PRKCA4_2","HEK_Exosome_SDPR_3","HEK_Exosome_PRTF_3","HEK_Exosome_CAV_3","HEK_Exosome_PN4.11_3","HEK_Exosome_PRKCA4_3"
"hsa-miR-584-5p",5,10,1,9,0,1,2,1,1,2,0,1,7,12,1
"hsa-miR-423-5p",1256,936,1138,806,1545,537,293,203,126,370,44,16,396,232,583
"hsa-miR-500a-3p",956,990,298,720,377,126,144,19,63,150,7,3,258,30,214
"hsa-miR-200c-3p",9,12,13,66,12,6,11,1,6,3,14,2,19,1,13
"hsa-miR-629-5p",4882,3132,1642,2872,2625,686,580,174,365,542,25,2,639,169,749
"hsa-let-7i-5p",216,173,46,346,36,46,65,30,52,78,6,12,224,131,174
"hsa-miR-135b-5p",0,0,0,1,0,0,0,0,0,0,0,0,6,7,0
"hsa-miR-548ad-5p",49,28,9,39,17,14,16,0,3,18,0,0,18,1,23
"hsa-miR-486-1-5p",103,60,32,62,42,19,8,4,18,15,0,0,125,14,121
"hsa-miR-330-3p",48,56,39,55,60,36,33,11,23,49,5,2,92,21,89
"hsa-miR-23a-3p",83,135,30,112,24,17,23,12,21,41,2,1,122,38,86
"hsa-miR-1273a-5p",51,44,9,54,19,26,31,3,27,58,3,3,80,14,103
"hsa-miR-7976-5p",7,2,0,5,1,1,0,0,2,1,0,0,1,0,7
"hsa-miR-374b-3p",4,13,0,13,15,2,0,1,9,1,1,1,20,5,11
"hsa-miR-5683-5p",0,2,0,4,0,2,3,0,1,0,0,0,0,0,0
"hsa-miR-548ay-5p",71,40,21,62,28,19,28,0,11,39,2,0,31,3,44
"hsa-miR-450a-2-5p",75,52,68,62,150,52,15,12,9,14,21,0,74,80,93
