"","PC3_Exosome_GFP_4.3","PC3_Exosome_CAV1_4.3","PC3_Exosome_CAV2_4.3","PC3_Exosome_CAV3_4.3","PC3_Exosome_GFP_23.3","PC3_Exosome_CAV1_23.3","PC3_Exosome_CAV2_23.3","PC3_Exosome_CAV3_23.3","PC3_Exosome_GFP_6.3","PC3_Exosome_CAV1_6.3","PC3_Exosome_CAV2_6.3","PC3_Exosome_CAV3_6.3"
"hsa-miR-27a-5p",54,65,109,31,182,86,113,99,10,0,67,6
"hsa-miR-320c-1-3p",270,252,521,571,139,268,225,238,43,7,1052,61
"hsa-miR-152-3p",89,63,71,75,115,56,46,77,28,3,206,37
"hsa-miR-937-3p",13,3,16,11,2,6,6,8,1,0,20,1
"hsa-miR-6126-5p",0,0,0,0,0,2,0,0,0,0,3,0
"hsa-miR-574-5p",115,228,231,173,91,139,188,254,29,2,69,96
"hsa-miR-760-3p",65,35,38,64,19,15,19,27,6,1,71,11
"hsa-miR-1285-1-3p",10,15,11,9,1,5,7,5,2,0,21,0
"hsa-miR-148a-3p",75788,24884,17909,19698,31224,15585,8698,23732,20388,1164,16797,8619
"hsa-miR-99b-5p",3381,3840,4674,4113,5082,3026,3280,5267,597,111,6211,1067
"hsa-miR-935-3p",9,7,7,15,21,7,7,7,1,0,11,0
"hsa-miR-22-5p",90,28,61,93,57,60,75,81,18,0,170,26
"hsa-miR-92a-1-5p",17,2,7,2,13,3,5,1,1,0,18,0
"hsa-miR-548ab-5p",1,5,1,0,0,0,2,0,0,0,1,0
"hsa-miR-3065-5p",46,19,12,16,28,30,21,47,5,0,33,14
"hsa-miR-548u-3p",11,16,15,4,10,2,4,8,0,0,2,1
"hsa-miR-296-5p",0,1,0,0,1,1,0,0,1,0,0,1
"hsa-miR-19a-3p",300,70,54,22,163,54,43,95,29,6,116,92
"hsa-miR-1301-3p",18,8,3,5,26,5,4,10,4,0,31,4
"hsa-miR-361-5p",137,98,139,97,122,136,104,149,12,1,751,50
"hsa-miR-183-5p",1827,2351,3653,2010,2663,1912,3180,4244,401,49,5627,1017
"hsa-miR-128-2-3p",2803,2399,2517,4156,1400,2422,1301,3074,321,113,3453,812
"hsa-miR-454-5p",34,15,16,13,16,19,6,22,1,1,42,12
"hsa-miR-181a-1-5p",921,897,1244,1278,737,772,836,1440,231,26,2388,688
"hsa-miR-301a-5p",27,8,8,21,20,10,9,16,2,2,29,2
"hsa-miR-2110-3p",1,1,3,1,0,2,0,1,0,0,1,0
"hsa-miR-3928-3p",6,3,5,5,1,2,5,2,2,0,14,2
"hsa-miR-409-3p",5,3,9,12,1,3,5,8,1,0,14,2
"hsa-miR-222-5p",16,12,40,13,26,23,40,32,0,0,44,5
"hsa-miR-4664-3p",41,38,38,24,25,21,19,28,2,0,23,3
"hsa-let-7e-5p",608,523,463,560,659,436,439,622,141,15,1188,291
"hsa-miR-532-5p",2573,1765,1136,1014,1048,1111,730,1128,313,107,1638,433
"hsa-miR-574-3p",25,50,65,39,45,72,122,114,2,1,122,14
"hsa-miR-6131-3p",163,114,69,88,160,60,150,244,227,13,78,1222
"hsa-miR-3613-5p",96,90,27,20,46,72,42,46,10,1,42,32
"hsa-miR-10a-5p",16429,13478,6763,6490,14677,7928,5996,10603,5660,1055,10621,4929
"hsa-miR-331-3p",25,41,41,50,67,46,48,52,0,3,40,11
"hsa-miR-378d-2-5p",205,159,140,193,82,192,107,157,16,3,304,30
"hsa-miR-4419a-3p",0,0,1,1,2,0,0,0,0,0,2,1
"hsa-miR-186-5p",1386,1071,949,777,642,670,631,876,342,27,1464,504
"hsa-miR-217-5p",4,0,4,0,2,1,0,1,0,0,5,0
"hsa-miR-3934-5p",17,17,28,13,20,15,9,16,4,0,21,5
"hsa-miR-331-5p",11,10,7,7,13,17,3,18,2,2,74,4
"hsa-miR-24-2-3p",5424,4941,17922,12273,13228,8280,13041,17589,663,43,22134,1641
"hsa-miR-375-3p",1276,2578,754,1889,851,1663,400,1360,608,5,706,923
"hsa-miR-548aq-3p",9,2,3,4,6,4,5,4,1,0,5,2
"hsa-miR-4497-5p",7,10,20,23,3,19,14,6,3,0,60,17
"hsa-miR-598-3p",1,1,1,0,0,4,0,4,0,6,2,1
"hsa-let-7c-5p",426,437,263,350,230,224,144,309,90,11,807,198
"hsa-miR-4459-3p",1,0,1,0,0,1,1,1,0,0,0,0
"hsa-miR-25-5p",9,1,8,2,5,5,6,4,0,2,15,0
"hsa-miR-421-3p",148,82,121,75,143,88,84,170,25,6,320,62
"hsa-miR-4677-3p",14,17,5,15,15,15,10,16,1,0,12,4
"hsa-miR-93-3p",2,14,11,4,10,6,4,12,0,4,28,2
"hsa-miR-98-5p",2367,1310,939,800,1710,520,996,1736,232,2,3327,507
"hsa-let-7a-1-3p",511,250,210,228,230,193,173,216,77,4,688,130
