"","HEK_Pellet_SDPR_1","HEK_Pellet_PRTF_1","HEK_Pellet_CAV_1","HEK_Pellet_PN4.11_1","HEK_Pellet_PRKCA4_1","HEK_Pellet_SDPR_2","HEK_Pellet_PRTF_2","HEK_Pellet_CAV_2","HEK_Pellet_PN4.11_2","HEK_Pellet_PRKCA4_2","HEK_Pellet_SDPR_3","HEK_Pellet_PRTF_3","HEK_Pellet_CAV_3","HEK_Pellet_PN4.11_3","HEK_Pellet_PRKCA4_3"
"hsa-miR-30b-5p",754,387,1068,951,3,5,1053,669,648,1217,397,997,886,1287,1434
"hsa-miR-941-5-3p",260,435,419,374,3,3,864,357,1079,347,794,196,844,504,274
"hsa-miR-218-2-5p",69835,46388,38074,45985,60,94,34811,41667,28689,58370,37908,31623,40464,69618,39165
"hsa-miR-1295a-3p",2,12,38,29,0,0,20,6,11,1,10,2,8,6,3
"hsa-miR-550a-2-3p",14,5,16,15,0,0,9,12,12,8,15,9,9,12,14
"hsa-miR-197-3p",510,434,410,348,1,1,637,261,518,379,698,788,575,420,469
"hsa-miR-184-3p",7,7,7,10,0,0,21,11,11,5,4,7,10,8,9
"hsa-miR-1287-5p",13,7,33,20,1,0,12,17,19,14,14,8,21,15,17
"hsa-miR-17-3p",137,100,248,222,0,1,168,212,164,163,64,74,136,181,162
"hsa-miR-345-5p",310,160,518,491,2,2,331,284,320,334,232,133,366,329,263
"hsa-miR-3615-3p",240,463,626,457,4,5,596,328,634,338,654,99,562,264,138
"hsa-miR-499a-5p",99,74,98,93,0,3,48,107,46,149,14,36,24,75,61
"hsa-miR-504-5p",67,194,166,160,1,0,237,114,220,103,155,49,176,74,61
